countriesAndTerritories,total_cases,total_deaths,population,incidence_rate,mortality_rate,cluster
France,36952159.0,156518.0,67320216,54890.137310314036,232.49776857519294,4
Germany,35287690.0,152753.0,83166711,42430.06555832177,183.67084397506113,4
Italy,23359251.0,178617.0,59641488,39166.110342518616,299.48447966288165,1
Spain,13564823.0,111649.0,47332614,28658.51228922197,235.8817537522859,3
Netherlands,8494705.0,22771.0,17407585,48798.87129662156,130.8107931111639,4
Poland,6189562.0,118050.0,37958138,16306.28457064991,311.00050271169783,2
Portugal,5514482.0,25131.0,10295909,53559.93336770945,244.08723892178924,4
Austria,5402162.0,20899.0,8901064,60691.19377189064,234.79215518504307,4
Greece,5138059.0,33574.0,10718565,47936.07166630981,313.23222838131784,1
Belgium,4597870.0,32883.0,11522440,39903.61416505532,285.38226278461855,1
Czechia,4152997.0,41524.0,10693939,38835.05413674045,388.2947153523131,1
Romania,3246412.0,67179.0,19328838,16795.69149474997,347.5583995271728,2
Denmark,3221572.0,7116.0,5822763,55327.20462776863,122.21002297362953,4
Sweden,2604866.0,20407.0,10327589,25222.40185971769,197.59694155141145,3
Slovakia,2535554.0,20511.0,5457873,46456.815686257265,375.8057397084908,1
Hungary,2141513.0,47938.0,9769526,21920.33676966518,490.68910815120404,2
Ireland,1675256.0,8010.0,4964440,33745.11525972718,161.34750344449725,3
Norway,1454895.0,4190.0,5367580,27105.231780429916,78.0612492035517,3
Finland,1335318.0,6407.0,5525292,24167.374321574316,115.95767246328339,3
Bulgaria,1271735.0,37790.0,6951482,18294.444263827485,543.6250859888582,2
Lithuania,1266026.0,9386.0,2794090,45310.85254948839,335.92332387288883,1
Croatia,1244692.0,17085.0,4058165,30671.300945131607,421.00308883448554,1
Slovenia,1228186.0,6875.0,2095861,58600.54650570815,328.0274789215506,4
Latvia,949252.0,6044.0,1907675,49759.628867600615,316.82545506965283,1
Cyprus,599500.0,1188.0,888005,67510.88113242606,133.78303050095437,4
Estonia,592700.0,2729.0,1328976,44598.24707142943,205.34607095989693,4
Luxembourg,301031.0,1144.0,626108,48079.72426482332,182.71608093172424,4
Iceland,176725.0,213.0,364134,48532.95764745945,58.49494966138839,4
Malta,115285.0,808.0,514564,22404.40450556199,157.02614252065828,3
Liechtenstein,15253.0,86.0,38747,39365.628306707615,221.9526673032751,4
